# X Y Z

1	0.0	0.0	0.0

2	1.0	0.0	0.0

3	2.0	0.0	0.0

4	3.0	0.0	0.0

5	4.0	0.0	0.0

6	5.0	0.0	0.0

7	6.0	0.0	0.0

8	7.0	0.0	0.0

9	8.0	0.0	0.0

10	9.0	0.0	0.0

11	10.0	0.0	0.0

12	11.0	0.0	0.0

13	12.0	0.0	0.0

14	13.0	0.0	0.0

15	14.0	0.0	0.0

16	15.0	0.0	0.0

17	16.0	0.0	0.0

18	17.0	0.0	0.0

19	18.0	0.0	0.0

20	19.0	0.0	0.0

21	20.0	0.0	0.0

22	21.0	0.0	0.0

23	22.0	0.0	0.0

24	23.0	0.0	0.0

25	24.0	0.0	0.0

26	25.0	0.0	0.0

27	26.0	0.0	0.0

28	27.0	0.0	0.0

29	28.0	0.0	0.0

30	29.0	0.0	0.0

# A B M N


61	10	19	13	16

62	11	20	14	17

63	12	21	15	18

64	13	22	16	19

65	14	23	17	20

66	15	24	18	21

67	16	25	19	22

68	17	26	20	23

69	18	27	21	24

70	19	28	22	25

71	20	29	23	26

72	21	30	24	27

73	1	13	5	9

74	2	14	6	10

75	3	15	7	11

76	4	16	8	12

77	5	17	9	13

78	6	18	10	14

79	7	19	11	15

80	8	20	12	16

81	9	21	13	17

82	10	22	14	18

83	11	23	15	19

84	12	24	16	20

85	13	25	17	21

86	14	26	18	22

87	15	27	19	23

88	16	28	20	24

89	17	29	21	25

90	18	30	22	26

91	1	16	6	11

92	2	17	7	12

93	3	18	8	13

94	4	19	9	14

95	5	20	10	15

96	6	21	11	16

97	7	22	12	17

98	8	23	13	18

99	9	24	14	19

100	10	25	15	20

101	11	26	16	21

102	12	27	17	22

103	13	28	18	23

104	14	29	19	24

105	15	30	20	25

106	1	19	7	13

107	2	20	8	14

108	3	21	9	15

109	4	22	10	16

110	5	23	11	17

111	6	24	12	18

112	7	25	13	19

113	8	26	14	20

114	9	27	15	21

115	10	28	16	22

116	11	29	17	23

117	12	30	18	24

118	1	22	8	15

119	2	23	9	16

120	3	24	10	17

121	4	25	11	18

122	5	26	12	19

123	6	27	13	20

124	7	28	14	21

125	8	29	15	22

126	9	30	16	23

127	1	25	9	17

128	2	26	10	18

129	3	27	11	19

130	4	28	12	20

131	5	29	13	21

132	6	30	14	22

133	1	28	10	19

134	2	29	11	20

135	3	30	12	21

136	1	2	3	4

137	2	3	4	5

138	3	4	5	6

139	4	5	6	7

140	5	6	7	8

141	6	7	8	9

142	7	8	9	10

143	8	9	10	11

144	9	10	11	12

145	10	11	12	13

146	11	12	13	14

147	12	13	14	15

148	13	14	15	16

149	14	15	16	17

150	15	16	17	18

151	16	17	18	19

152	17	18	19	20

153	18	19	20	21

154	19	20	21	22

155	20	21	22	23

156	21	22	23	24

157	22	23	24	25

158	23	24	25	26

159	24	25	26	27

160	25	26	27	28

161	26	27	28	29

162	27	28	29	30

163	1	2	4	5

164	2	3	5	6

165	3	4	6	7

166	4	5	7	8

167	5	6	8	9

168	6	7	9	10

169	7	8	10	11

170	8	9	11	12

171	9	10	12	13

172	10	11	13	14

173	11	12	14	15

174	12	13	15	16

175	13	14	16	17

176	14	15	17	18

177	15	16	18	19

