11	14	12	13	1.34111433029175e+01	1.26649999618530e+01	7.15503275394440e-01	0.00000000000000e+00	7.01991617679596e-04	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.73027944564819e+00	-1.68596439361572e+01	7.00000000000000e+00	3.97067451477051e+01	1.30866851806641e-02	1.66497206687927e+00	1
12	15	13	14	1.44988536834717e+01	1.26649999618530e+01	6.11633777618408e-01	0.00000000000000e+00	7.91434943675995e-04	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.22321581840515e+00	-2.11277503967285e+01	7.00000000000000e+00	3.97067451477051e+01	1.43143291473389e-02	1.18736982345581e+00	1
13	16	14	15	1.34111433029175e+01	1.26649999618530e+01	9.88230764865875e-01	0.00000000000000e+00	8.27131092548370e-04	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.76883649826050e+00	-3.85234642028809e+01	7.00000000000000e+00	3.97067451477051e+01	1.50181779861450e-02	1.56399071216583e+00	1
14	17	15	16	1.44988536834717e+01	1.26649999618530e+01	1.86500203609467e+00	0.00000000000000e+00	8.15972506999969e-04	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.21651434898376e+00	1.29905181884766e+02	7.00000000000000e+00	3.92179870605469e+01	1.50590991973877e-02	1.67832732200623e+00	1
15	18	16	17	1.34111433029175e+01	1.26649999618530e+01	1.77984476089478e-01	0.00000000000000e+00	6.93527758121490e-04	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.35918450355530e+00	-7.48453617095947e+00	7.00000000000000e+00	3.92179870605469e+01	1.27347612380981e-02	1.67286777496338e+00	1
16	19	17	18	1.44535322189331e+01	1.26649999618530e+01	8.16832900047302e-01	0.00000000000000e+00	7.78996884822845e-04	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.21348834037781e+00	-4.00948524475098e+01	7.00000000000000e+00	3.92179870605469e+01	1.52145996093750e-02	1.28806614875793e+00	1
17	20	18	19	1.34111433029175e+01	1.26649999618530e+01	3.66125732660294e-01	0.00000000000000e+00	8.14144432544708e-04	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.98899793624878e+00	2.18520617485046e+00	7.00000000000000e+00	3.92179870605469e+01	1.57793169021606e-02	1.54351961612701e+00	1
18	21	19	20	1.44535322189331e+01	1.26649999618530e+01	2.61222749948502e-01	0.00000000000000e+00	6.83568120002747e-04	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.32259654998779e+00	-4.60120925903320e+01	7.00000000000000e+00	3.92179870605469e+01	1.34058713912964e-02	1.27911615371704e+00	1
19	22	20	21	1.34111433029175e+01	1.26649999618530e+01	1.83256983757019e+00	0.00000000000000e+00	1.00344479084015e-03	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.86983430385590e+00	3.97961235046387e+01	7.00000000000000e+00	3.97067451477051e+01	1.85210552215576e-02	1.04817295074463e+00	1
20	23	21	22	1.34111433029175e+01	1.26649999618530e+01	1.08489871025085e+00	0.00000000000000e+00	1.07254147529602e-03	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.49078416824341e+00	8.41631698608398e+01	7.00000000000000e+00	3.97067451477051e+01	1.92003517150879e-02	1.03245484828949e+00	1
21	24	22	23	1.44535322189331e+01	1.26649999618530e+01	2.56699949502945e-01	0.00000000000000e+00	1.09321343898773e-03	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.31720244884491e+00	-1.22355175018311e+01	7.00000000000000e+00	3.92179870605469e+01	1.80709190368652e-02	9.90121006965637e-01	1
22	25	23	24	1.34111433029175e+01	1.26649999618530e+01	2.77952075004578e-01	0.00000000000000e+00	1.23642408847809e-03	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.48005509376526e+00	-4.02708129882812e+01	7.00000000000000e+00	3.97067451477051e+01	2.07062625885010e-02	9.10001993179321e-01	1
23	26	24	25	1.34111433029175e+01	1.26649999618530e+01	1.33016395568848e+00	0.00000000000000e+00	1.09839284420013e-03	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.50425851345062e+00	4.57502021789551e+01	7.00000000000000e+00	3.97067451477051e+01	1.64790744781494e-02	9.79559779167175e-01	1
24	27	25	26	1.36377496719360e+01	1.26649999618530e+01	1.78470984101295e-01	0.00000000000000e+00	1.34448742866516e-03	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.73168575763702e+00	-1.54601287841797e+01	7.00000000000000e+00	3.97067451477051e+01	2.01742839813232e-02	8.63996684551239e-01	1
25	28	26	27	1.34111433029175e+01	1.26649999618530e+01	2.71358191967010e-01	0.00000000000000e+00	1.08809435367584e-03	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.44572675228119e+00	3.76477479934692e+00	7.00000000000000e+00	3.92179870605469e+01	1.47767400741577e-02	1.16679990291595e+00	1
26	29	27	28	1.34111433029175e+01	1.26649999618530e+01	4.99278575181961e-01	0.00000000000000e+00	9.21909749507904e-04	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.46043610572815e+00	-1.03122085571289e+02	7.00000000000000e+00	3.92179870605469e+01	1.36473093032837e-02	1.46768927574158e+00	1
27	30	28	29	1.34111433029175e+01	1.26649999618530e+01	1.79939246177673e+00	0.00000000000000e+00	1.53954291343689e-03	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.00327467918396e+00	7.86674194335938e+01	7.00000000000000e+00	3.97067451477051e+01	2.07267208099365e-02	7.78520643711090e-01	1
1	7	3	5	1.34111433029175e+01	1.26649999618530e+01	8.34158658981323e-01	0.00000000000000e+00	2.45183825492859e-03	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.43977725505829e+00	4.67789611816406e+02	7.00000000000000e+00	3.97067451477051e+01	1.37659807205200e-02	2.94144964218140e+00	1
2	8	4	6	1.34111433029175e+01	1.26649999618530e+01	6.25931799411774e-01	0.00000000000000e+00	2.39857840538025e-03	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.12100052833557e+00	-3.69930052757263e+00	7.00000000000000e+00	3.97067451477051e+01	1.46089630126953e-02	2.77108478546143e+00	1
3	9	5	7	1.34338045120239e+01	1.26649999618530e+01	1.31720781326294e+00	0.00000000000000e+00	2.11163520812988e-03	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.11396360397339e+00	-3.69111633300781e+01	7.00000000000000e+00	3.97067451477051e+01	1.30457630157471e-02	3.02663230895996e+00	1
4	10	6	8	1.34111433029175e+01	1.26649999618530e+01	6.58420681953430e-01	0.00000000000000e+00	2.31055045127869e-03	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.34587693214417e+00	-3.93582649230957e+01	7.00000000000000e+00	3.97067451477051e+01	1.37250585556030e-02	4.14145851135254e+00	1
5	11	7	9	1.34111433029175e+01	1.26649999618530e+01	6.87105596065521e-01	0.00000000000000e+00	2.06174731254578e-03	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.78241777420044e+00	2.20566701889038e+00	7.00000000000000e+00	3.97067451477051e+01	1.29066295623779e-02	3.45233702659607e+00	1
6	12	8	10	1.34111433029175e+01	1.26649999618530e+01	4.50100809335709e-01	0.00000000000000e+00	2.03647160530090e-03	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.33714509010315e+00	-1.00421276092529e+01	7.00000000000000e+00	3.92179870605469e+01	1.34017801284790e-02	3.78894782066345e+00	1
7	13	9	11	1.34111433029175e+01	1.26649999618530e+01	2.38292425870895e-01	0.00000000000000e+00	2.11311125755310e-03	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.01848030090332e+00	3.76477450132370e-01	7.00000000000000e+00	3.97067451477051e+01	1.33035688400269e-02	4.25064325332642e+00	1
8	14	10	12	1.34111433029175e+01	1.26649999618530e+01	8.62565994262695e-01	0.00000000000000e+00	2.15945792198181e-03	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.44062876701355e+00	5.02106380462646e+00	7.00000000000000e+00	3.97067451477051e+01	1.33731355667114e-02	4.23449230194092e+00	1
9	15	11	13	1.34338045120239e+01	1.26649999618530e+01	1.28704476356506e+00	0.00000000000000e+00	2.00397133827209e-03	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.13320112228394e+00	-4.46289482116699e+01	7.00000000000000e+00	3.97067451477051e+01	1.29843807220459e-02	3.92108821868896e+00	1
10	16	12	14	1.34111433029175e+01	1.26649999618530e+01	1.16950154304504e+00	0.00000000000000e+00	2.16639113426209e-03	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.75123095512390e+00	-4.65031509399414e+01	7.00000000000000e+00	3.97067451477051e+01	1.43675251007080e-02	4.23122358322144e+00	1
11	17	13	15	1.34111433029175e+01	1.26649999618530e+01	1.59632778167725e+00	0.00000000000000e+00	2.18880295753479e-03	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.76925587654114e+00	-8.30051040649414e+01	7.00000000000000e+00	3.97067451477051e+01	1.39051141738892e-02	5.03330087661743e+00	1
