El-array Spa.1 Spa.2 Spa.3 Spa.4 Rho Dev. M Sp Vp In Spa.5 Spa.6 Spa.7 Spa.8
Mixed/non-conventional 25.00 31.00 27.00 29.00 2646.38 1.93 0.00 5.67 19.374 0.092 0.00 0.00 0.00 0.00
Mixed/non-conventional 26.00 32.00 28.00 30.00 2972.42 1.65 0.00 16.66 20.122 0.085 0.00 0.00 0.00 0.00
Mixed/non-conventional 27.00 33.00 29.00 31.00 2938.12 1.28 0.00 -23.77 19.933 0.085 0.00 0.00 0.00 0.00
Mixed/non-conventional 28.00 34.00 30.00 32.00 2166.09 1.51 0.00 -6.59 24.349 0.141 0.00 0.00 0.00 0.00
Mixed/non-conventional 29.00 35.00 31.00 33.00 2307.31 1.39 0.00 4.71 19.635 0.107 0.00 0.00 0.00 0.00
Mixed/non-conventional 0.00 9.00 3.00 6.00 491.55 0.70 0.00 -41.23 15.914 0.610 0.00 0.00 0.00 0.00
Mixed/non-conventional 1.00 10.00 4.00 7.00 540.52 0.45 0.00 5.18 15.803 0.551 0.00 0.00 0.00 0.00
Mixed/non-conventional 2.00 11.00 5.00 8.00 621.75 0.36 0.00 -4.57 15.932 0.483 0.00 0.00 0.00 0.00
Mixed/non-conventional 3.00 12.00 6.00 9.00 724.76 0.52 0.00 37.42 16.251 0.423 0.00 0.00 0.00 0.00
Mixed/non-conventional 4.00 13.00 7.00 10.00 774.33 0.90 0.00 6.51 16.562 0.403 0.00 0.00 0.00 0.00
Mixed/non-conventional 5.00 14.00 8.00 11.00 733.76 0.54 0.00 9.24 16.157 0.415 0.00 0.00 0.00 0.00
Mixed/non-conventional 6.00 15.00 9.00 12.00 775.18 0.48 0.00 -3.87 15.989 0.389 0.00 0.00 0.00 0.00
Mixed/non-conventional 7.00 16.00 10.00 13.00 836.12 0.26 0.00 -6.26 16.057 0.362 0.00 0.00 0.00 0.00
Mixed/non-conventional 8.00 17.00 11.00 14.00 950.32 0.58 0.00 -6.98 16.301 0.323 0.00 0.00 0.00 0.00
Mixed/non-conventional 9.00 18.00 12.00 15.00 1064.96 0.45 0.00 5.09 16.387 0.290 0.00 0.00 0.00 0.00
Mixed/non-conventional 10.00 19.00 13.00 16.00 1093.30 0.71 0.00 -1.46 16.616 0.286 0.00 0.00 0.00 0.00
Mixed/non-conventional 11.00 20.00 14.00 17.00 1035.22 0.70 0.00 1.97 16.387 0.298 0.00 0.00 0.00 0.00
